Time,Engine RPM,Throttle Pos,Manifold Pres,Air Temp Inlet,Engine Temp,Lambda 1,Fuel Temp,Fuel Pres,Eng Oil Temp,Eng Oil Pres,G Force Lat,G Force Long,Rotary 1,Rotary 2,Fuel Pressure Sense,Drive Speed Left,Ground Speed Left,Ground Speed Right,Bat Volts ECU,La 1 Short Trim,La 1 Long Trim,Lambda 1 Aim,Fuel Cut Level Total,Ign Cut Level Total,RPM Limit Cut Level,Gear Chg Cut Level,Fuel Actual PW,Fuel Effective PW,Fuel Accel,Fuel Decel,Overrun Recovery PW,Ign Advance,Fuel Base PW,Fuel MAP Comp,Fuel AT Comp,Fuel ET Comp,Fuel Dead Time Prim,Fuel Comp 1,Fuel Starting Comp,Fuel La Comp,Fuel Accel Clamp,Fuel Decel Clamp,Ign Base Advance,Ign AT Comp,Ign ET Comp,Ign Comp 1,Ign Gear Cut Retard
s,rpm,%,bar,C,C,LA,C,psi,C,bar,G,G,,,psi,,,,V,%,%,,%,%,%,%,mSec,mSec,mSec,mSec,mSec,dBTDC,mSec,%,%,%,mSec,%,%,%,mSec,mSec,deg,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1568,13.5,0.853,26.6,69.2,0.97,31.3,42.4,60.7,1.663,0.019,0.831,4,1,56.9,0,0,0,13.53,-1.7,-0.6,1.005,0,0,0,0,2.748,2.024,0,0,0,43.9,1.904,0,-0.4,0,0.726,0,9.1,0,2.1,0.218,43.9,0,0,0,0
0.1,1666,13.5,0.854,26.6,69.2,0.97,31.3,42.4,60.7,1.681,0.019,1.074,4,1,56.9,0,0,0,13.53,-1.5,-0.5,1.005,0,0,0,0,2.548,1.824,0,0,0,43.4,1.78,0,-0.4,0,0.726,0,9.1,0,2.1,0.218,43.4,0,0,0,0
0.2,1712,13.5,0.855,26.6,69.2,0.933,31.3,42.4,60.7,1.699,0.016,-0.37,4,1,56.8,0,0,0,13.54,-1.4,-0.5,1.005,0,0,0,0,2.404,1.68,0,0,0,43.3,1.638,0,-0.4,0,0.726,0,9,0,2.1,0.218,43.3,0,0,0,0
0.3,2044,13.5,0.853,26.6,69.1,0.937,31.3,42.4,60.7,1.716,0.016,-3.78,4,1,56.8,0,0,0,13.54,-1.2,-0.4,1.005,0,0,0,0,2.206,1.48,0,0,0,33.4,1.442,0,-0.4,0,0.726,0,9,0,2.1,0.218,33.4,0,0,0,0
0.4,1882,13.4,0.85,26.6,69.1,0.945,31.3,42.4,60.7,1.734,0.016,-1.843,4,1,56.7,0,0,0,13.54,-1,-0.4,1.005,0,0,0,0,2.244,1.518,0,0,0,37,1.48,0,-0.4,0,0.726,0,8.9,0,2.1,0.218,37,0,0,0,0
0.5,2023,13.5,0.852,26.6,69.1,0.932,31.3,42.4,60.8,1.752,0.021,2.243,4,1,56.7,0,0,0,13.55,-0.9,-0.3,1.005,0,0,0,0,2.366,1.64,0,0,0,38.4,1.512,0,-0.4,0,0.726,0,8.9,0,2.1,0.218,38.4,0,0,0,0
0.6,2033,13.5,0.85,26.6,69.1,0.943,31.3,42.4,60.8,1.77,0.015,-0.026,4,1,56.7,0,0,0,13.55,-0.7,-0.2,1.005,0,0,0,0,2.362,1.638,0,0,0,39.1,1.512,0,-0.4,0,0.726,0,8.9,0,2.1,0.218,39.1,0,0,0,0
